"id","current_mood","group","ON","SAC","TII","BD","selfesteem","exce_exercise","mother","vlogexperience","help_received","recent_help","aidetection","race_ethnicity","religion","language","marital_status","Income","Education","Age"
"5f2a5f187bf471245f7dc096",4.05,"Group2_N",2.66666666666667,1.5,1.25,1.125,4.9,2.1875,3.2962962962963,7,1,1,"correct","Asian,Caucasian or White","Atheist","English","Never married","Less than $12,000","Bachelor's degree",24
"67eff0475e43d9a5390ff55e",4.8,"Group1_C",3.66666666666667,3.66666666666667,2.25,1.25,4.8,3.25,1.66666666666667,0,0,NA,"correct","Black or African American","Catholicism/Christianity","English","Married","$36,000 or more","Master's degree",25
"674a317122c5f8223e47d5f5",3.35,"Group3_I",2.6,1.5,1.25,1.3125,2.7,2.9375,4,8,0,NA,"correct","Caucasian or White","Hinduism","English","Never married","Less than $12,000","Some college, no degree",22
"65cbab070b9dca9291cd7848",3.35,"Group4_ID",3,3.83333333333333,4.5,3.4375,3.7,3.75,3.11111111111111,9,0,NA,"correct","Asian","Agnostic","English","Never married","$24,000 - $35,999","Bachelor's degree",24
"6769cc78e79f747dda9c7b8f",4.6,"Group3_I",2.53333333333333,1,2,1,5,4.125,4.03703703703704,0,0,NA,"correct","Black or African American","Catholicism/Christianity","English","Married","$36,000 or more","Bachelor's degree",24
"651adee4c39c1b8ccfd30c2c",4.25,"Group3_I",4,4.33333333333333,4.25,2.8125,4.6,3.25,2.62962962962963,8,0,NA,"correct","Asian,Native Hawaiian or Pacific Islander","Atheist","English","Never married","$36,000 or more","Bachelor's degree",22
"68483d40185598902b719f20",4.3,"Group1_C",3.4,4.33333333333333,3.25,2.4375,4.7,3.625,1.81481481481481,4,0,NA,"correct","Caucasian or White","Catholicism/Christianity","English","Never married","$36,000 or more","Master's degree",23
"66588b6663c98bc553bd38a1",2.5,"Group2_N",4.8,5,5,4.875,1,3.375,2.25925925925926,7,0,NA,"correct","Caucasian or White","Atheist","English","Never married","Less than $12,000","Associate degree",25
"6143c54419a0e89c28649418",3.8,"Group4_ID",2.8,3,2.25,2.25,3.3,2.8125,1.96296296296296,5,0,NA,"correct","Hispanic or Latino","Catholicism/Christianity","English","Never married","$12,000 - $23,999","High school degree or equivalent (e.g., GED)",22
"6640be7edc706d4622dbab1c",3.5,"Group1_C",4.26666666666667,4.66666666666667,4.5,2.375,3.4,4.625,3.44444444444444,14,1,1,"correct","Black or African American,Caucasian or White","Agnostic","English","Never married","Less than $12,000","Some college, no degree",24
"652c2417b4b8e1888eac80f1",3.3,"Group2_N",3.26666666666667,3.83333333333333,3.5,3.5625,1.7,2.9375,3.85185185185185,7,0,NA,"correct","Hispanic or Latino","Atheist","English","Never married","Less than $12,000","High school degree or equivalent (e.g., GED)",25
"67c5b74f030c4c0f815f717d",4.8,"Group2_N",3.26666666666667,2,2.25,1.1875,4.9,3.1875,2.48148148148148,3,0,NA,"correct","Caucasian or White","Catholicism/Christianity","English","Never married","$24,000 - $35,999","Bachelor's degree",21
"5eece225d900510bb10d82d1",3.3,"Group1_C",3.8,3.5,4.25,3.625,3.3,3.75,3.80769230769231,5,0,NA,"correct","Caucasian or White","Judaism","English","Married","$36,000 or more","Master's degree",24
"6673c06ef972fa4885e8ec49",3.2,"Group3_I",3.93333333333333,4.16666666666667,4.5,3.625,2.2,3.375,3.37037037037037,4,0,NA,"correct","Hispanic or Latino","Agnostic","English","Never married","$24,000 - $35,999","Associate degree",22
"667d08e12ac1bcbdd829a936",3.4,"Group1_C",2.86666666666667,4,3,2.4375,4,3.5,3.2962962962963,6,0,NA,"wrong","Asian","Atheist","English","Never married","$36,000 or more","Some college, no degree",21
"66c021f5b68a78b5c6563113",3.6,"Group4_ID",3.26666666666667,4.16666666666667,5,3.8125,2.4,3,4.22222222222222,3,0,NA,"correct","Hispanic or Latino","Agnostic","English","Never married","$12,000 - $23,999","High school degree or equivalent (e.g., GED)",24
"671d68f0cf75beaa737fe99a",3.55,"Group4_ID",3.2,1.33333333333333,1,1.25,4.1,2.625,3.81481481481481,0,0,NA,"correct","Hispanic or Latino","Agnostic","English","Never married","$12,000 - $23,999","High school degree or equivalent (e.g., GED)",25
"66ec9f0832d1bc82239af5a1",4.9,"Group2_N",3.33333333333333,5,4,3.4375,5,3.8125,4.2962962962963,6,0,NA,"correct","Caucasian or White","Catholicism/Christianity","English","Married","$36,000 or more","Some college, no degree",25
